"Name","Resolucion","Fecha Resolucion","Registro"
"""ASOCIACIÓN PRIVADA DE FIELES, HERMANAS DE SAN JOSÉ""","213","2012-11-16","371"
"""ASOCIACIÓN PÚBLICA DE FIELES DE LAS SERVIDORAS DE LA PRESENCIA DE DIOS""","79","2012-06-26","368"
"""ASOCIACIÓN PÚBLICA DE FIELES DE LOS PEREGRINOS DE LA EUCARISTÍA""","131","2016-06-14","385"
"""BETANIA DEL SAGRADO CORAZÓN""","358","2019-11-20","397"
"""CARMELITAS DE MARIA INMACULADA""","268","2013-10-18","377"
"""COMUNIDAD DEL CORDERO - HERMANITOS DE SANTO DOMINGO""","251","2016-01-05","349/1"
"""CONGREGACIÓN DE LOS SAGRADOS CORAZONES DE JESÚS Y DE MARÍA Y DE LA ADORACIÓN PERPETUA DEL SANTISIMO SACRAMENTO DEL ALTAR""","228","2012-12-20","372"
"""CONGREGACIÓN HERMANAS DEL DIVINO REDENTOR""","247","2013-10-18","376"
"""DISCIPULAS DE JESÚS""","218","2013-08-30","375"
"""ESCLAVAS DEL SANTISIMO SACRAMENTO Y DE LA INMACULADA""","87","2015-05-14","382"
"""FEDERACIÓN MARÍA, MADRE DE LA GRACIA DE MONJAS DE LA ORDEN DE PREDICADORES""","168","2020-08-11","398"
"""FRANCISCANAS MISIONERAS DE LA INMACULADA CONCEPCIÓN""","202","2016-10-07","388"
"""FRANCISCANAS MISIONERAS DE MARIA""","279","2019-08-28","395"
"""FRATERNIDAD APOSTOLICA SACERDOTAL TOMÁS DE AQUINO"" (FASTA SACERDOTAL)","272/2016","2016-12-21","389"
"""HERMANAS  FRANCISCANAS  DE  LA  INMACULADA""","80","2012-07-16","369"
"""HERMANAS CONSOLADORAS  DEL DIVINO CORAZÓN DE JESÚS""","133","2012-07-20","370"
"""HERMANAS DE LA CARIDAD DE JESÚS""","7","2013-03-14","373"
"""HERMANAS DEL NIÑO JESÚS""","135","2016-06-23","386"
"""HERMANAS FRANCISCANAS MISIONERAS DEL NIÑO JESÚS""","320","2017-12-29","392"
"""HERMANAS HOSPITALARIAS DEL SAGRADO CORAZÓN DE JESÚS""","17","1999-03-01","196"
"""HERMANAS MISIONERAS DEL SAGRADO CORAZÓN DE JESÚS Y DE MARÍA""","173","2013-07-18","374"
"""HERMANOS  FRANCISCANOS DE  LA INMACULADA""","10","2012-03-09","367"
"""HERMANOS FRANCISCANOS DE LA CRUZ BLANCA""","1","2016-01-15","384"
"""HIJAS DE LA INMACULADA CONCEPCIÓN DE LA BEATA VIRGEN MARIA - INSTITUTO DE LAS HIJAS DE MARÍA INMACULADA""","321","2017-12-29","393"
"""HIJAS DE MARIA DEL ROSARIO DE SAN NICOLÁS""","139","2016-08-02","387"
"""HIJAS DE SANTA MARIA DEL CORAZÓN DE JESÚS""","138","2014-09-19","380"
"""HIJAS DEL SANTÍSMO E INMACULADO CORAZÓN DE MARIA O FILIACIÓN CORDIMARIANA""","317","2017-12-29","219/1"
"""HIJOS DEL SAGRADO E INMACULADO CORAZÓN DE MARIA""","43","2020-07-16","399"
"""INSTITUTO DE KKOTTONGNAE HERMANAS DE JESÚS""","155","2019-05-27","394"
"""INSTITUTO DE SACERDOTES DIOCESANOS DE SCHÖNSTATT""","268","2013-10-18","378"
"""MISIONERAS DE LOS ENFERMOS""","71","2014-07-23","379"
"""MISIONERAS HIJAS  DE LA MADRE SANTISIMA DE LA LUZ""","198","2017-08-22","391"
"""MISIONEROS HIJOS DE SAN JOSÉ""","170","2020-08-11","400"
"""MONASTERIO JESUCRISTO SUMO Y ETERNO SACERDOTE E INMACULADO CORAZÓN DE MARÍA  (ORDEN DE CARMELITAS DESCALZAS DE LA BIENAVENTURADAD VIRGEN MARIA DEL MONTE CARMELO)""","152","2014-09-19","6/31"
"""MONASTERIO MADRE DE DIOS, MONJAS DOMINICAS DE LA ORDEN DE PREDICADORES""","296","2014-12-22","147/4"
"""ORDEN  DE FRAILES MENORES-PROVINCIA FRANCISCANA  DE  SAN  JERÓNIMO  EN DALMACIA""","N° 1319","2003-10-15","14/3"
"""ORDEN DE LAS HERMANAS POBRES DE SANTA CLARA - MONASTERIO NUESTRA SEÑORA DE FÁTIMA Y SANTA CLARA  (HERMANAS  CLARISAS)""","83","2016-04-15","17/3"
"""ORDEN DE LAS HERMANAS POBRES DE SANTA CLARA"" (MONASTERIO INMACULADA CONCEPCIÓN Y SANTA CLARA)","230","2016-12-01","17/2"
"""ORDEN LIBANESA MARONITA (BALADITA)"" O.L.M","50","2021-07-12","401"
